"Figure 1. Average Global Sea Surface Temperature, 1880-2014",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climatechange/indicators,,,
"Data source: NOAA, 2015",,,
Web update: June 2015,,,
Units: temperature anomaly (°F),,,
,,,
Year,Annual anomaly,Lower 95% confidence interval,Upper 95% confidence interval
1880,-0.546813,-0.814453135,-0.279172865
1881,-0.435591,-0.704761447,-0.166420553
1882,-0.4930308,-0.763653927,-0.222407673
1883,-0.5053284,-0.777282055,-0.233374745
1884,-0.6370416,-0.910387616,-0.363695584
1885,-0.6130962,-0.888008681,-0.338183719
1886,-0.5834034,-0.859895981,-0.306910819
1887,-0.7900272,-1.06813566,-0.51191874
1888,-0.5856696,-0.865028394,-0.306310806
1889,-0.4883346,-0.768449802,-0.208219398
1890,-0.8717562,-1.157567752,-0.585944648
1891,-0.730863,-1.019232492,-0.442493508
1892,-0.8517942,-1.144128972,-0.559459428
1893,-0.903717,-1.200131993,-0.607302007
1894,-0.9255744,-1.223768674,-0.627380126
1895,-0.753255,-1.054646157,-0.451863843
1896,-0.5064426,-0.814168343,-0.198716857
1897,-0.5743746,-0.887314365,-0.261434835
1898,-0.8320122,-1.145508303,-0.518516097
1899,-0.6627132,-0.978956634,-0.346469766
1900,-0.5939478,-0.91138939,-0.27650621
1901,-0.7744536,-1.092463222,-0.456443978
1902,-0.839538,-1.157077599,-0.521998401
1903,-1.0229526,-1.3440006,-0.7019046
1904,-1.1178468,-1.442288555,-0.793405045
1905,-0.848097,-1.175764452,-0.520429548
1906,-0.8673282,-1.198903897,-0.535752503
1907,-0.9611028,-1.303009506,-0.619196094
1908,-1.1536092,-1.509202899,-0.798015501
1909,-1.2141558,-1.569504395,-0.858807205
1910,-1.2026196,-1.559017455,-0.846221745
1911,-1.1865258,-1.549515683,-0.823535917
1912,-0.9958194,-1.364575573,-0.627063227
1913,-1.0443672,-1.414370142,-0.674364258
1914,-0.8174016,-1.191236444,-0.443566756
1915,-0.635184,-1.014242933,-0.256125067
1916,-0.909999,-1.293886904,-0.526111096
1917,-0.8788806,-1.267201071,-0.490560129
1918,-0.7285446,-1.12093053,-0.33615867
1919,-0.8113608,-1.208633025,-0.414088575
1920,-0.7864524,-1.187187234,-0.385717566
1921,-0.7767576,-1.182738281,-0.370776919
1922,-0.878751,-1.286902635,-0.470599365
1923,-0.8435952,-1.258296556,-0.428893844
1924,-0.7983648,-1.213396177,-0.383333423
1925,-0.7299018,-1.146280539,-0.313523061
1926,-0.5564016,-0.973482232,-0.139320968
1927,-0.6210306,-1.03888642,-0.20317478
1928,-0.6623622,-1.080560433,-0.244163967
1929,-0.743823,-1.162526896,-0.325119104
1930,-0.4984056,-0.91458999,-0.08222121
1931,-0.4770954,-0.893817766,-0.060373034
1932,-0.552087,-0.974298843,-0.129875157
1933,-0.6691464,-1.106390728,-0.231902072
1934,-0.5198418,-1.009827531,-0.029856069
1935,-0.5289264,-1.020914823,-0.036937977
1936,-0.4741488,-0.962059848,0.013762248
1937,-0.2627748,-0.74298472,0.21743512
1938,-0.3410118,-0.813131497,0.131107897
1939,-0.3249936,-0.782043243,0.132056043
1940,-0.1644498,-0.625782174,0.296882574
1941,-0.0573534,-0.514266858,0.399560058
1942,-0.1455282,-0.590462015,0.299405615
1943,-0.174429,-0.598582057,0.249724057
1944,0.0103302,-0.391040857,0.411701257
1945,-0.0595404,-0.450719084,0.331638284
1946,-0.4931082,-0.871263064,-0.114953336
1947,-0.5634036,-0.916327058,-0.210480142
1948,-0.5802516,-0.894738715,-0.265764485
1949,-0.5314338,-0.727388715,-0.335478885
1950,-0.5592024,-0.749877663,-0.368527137
1951,-0.354897,-0.54101363,-0.16878037
1952,-0.241272,-0.370031917,-0.112512083
1953,-0.2279952,-0.292568202,-0.163422198
1954,-0.532584,-0.595694783,-0.469473217
1955,-0.5938164,-0.655227926,-0.532404874
1956,-0.5351238,-0.59489191,-0.47535569
1957,-0.1896786,-0.269741661,-0.109615539
1958,-0.18864,-0.267212291,-0.110067709
1959,-0.2476134,-0.325788658,-0.169438142
1960,-0.3008142,-0.3749022,-0.2267262
1961,-0.2156544,-0.282220571,-0.149088229
1962,-0.1921158,-0.265443903,-0.118787697
1963,-0.1822374,-0.239885395,-0.124589405
1964,-0.5285016,-0.584728668,-0.472274532
1965,-0.4445748,-0.500912442,-0.388237158
1966,-0.3385476,-0.394885242,-0.282209958
1967,-0.3482046,-0.406175555,-0.290233645
1968,-0.300474,-0.363683316,-0.237264684
1969,-0.0546282,-0.118814534,0.009558134
1970,-0.2470014,-0.317207714,-0.176795086
1971,-0.451269,-0.512273823,-0.390264177
1972,-0.1431072,-0.204518726,-0.081695674
1973,-0.1273302,-0.191903202,-0.062757198
1974,-0.3822732,-0.448087187,-0.316459213
1975,-0.4354704,-0.501189758,-0.369751042
1976,-0.4054698,-0.475764702,-0.335174898
1977,-0.093618,-0.150723669,-0.036512331
1978,-0.2054178,-0.262849479,-0.147986121
1979,-0.035433,-0.092538669,0.021672669
1980,-0.0116244,-0.068838945,0.045590145
1981,-0.0571698,-0.114493015,0.000153415
1982,-0.0849924,-0.142315615,-0.027669185
1983,0.063576,0.002877993,0.124274007
1984,-0.1200402,-0.198056079,-0.042024321
1985,-0.1796058,-0.252593632,-0.106617968
1986,-0.0940608,-0.168232752,-0.019888848
1987,0.1465416,0.071452365,0.221630835
1988,0.0823518,0.006111075,0.158592525
1989,0.007272,-0.069456931,0.084000931
1990,0.1998162,0.140152306,0.259480094
1991,0.1760094,0.119451257,0.232567543
1992,0.011754,-0.044804143,0.068312143
1993,0.0305262,-0.0259218,0.0869742
1994,0.0991854,0.0427374,0.1556334
1995,0.1967886,0.140450958,0.253126242
1996,0.1615392,0.105312132,0.217766268
1997,0.4244994,0.368383125,0.480615675
1998,0.5305014,0.47073329,0.59026951
1999,0.1978524,0.136440874,0.259263926
2000,0.2352582,0.179364168,0.291152232
2001,0.4099698,0.353964536,0.465975064
2002,0.4830786,0.427073336,0.539083864
2003,0.5377788,0.481773536,0.593784064
2004,0.4796586,0.421687645,0.537629555
2005,0.501174,0.44309579,0.55925221
2006,0.4638474,0.398222807,0.529471993
2007,0.3304908,0.261536674,0.399444926
2008,0.2943594,0.214374108,0.374344692
2009,0.492957,0.412971708,0.572942292
2010,0.504756,0.424770708,0.584741292
2011,0.3278808,0.247895508,0.407866092
2012,0.417798,0.337812708,0.497783292
2013,0.4696038,0.389618508,0.549589092
2014,0.6251382,0.545152908,0.705123492
